seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,731.393,8045.327,317,22,11,0.4233,
2,16,16,1.0,494.398,7910.361,245,33,17,0.2742,
3,11,11,1.0,612.887,6741.753,330,11,0,0.6159,
4,11,11,1.0,663.572,7299.29,327,12,1,0.5201,
5,14,14,1.0,573.552,8029.729,279,31,17,0.3802,
6,16,16,1.0,473.128,7570.044,220,28,12,0.2417,
7,12,12,1.0,590.601,7087.207,298,27,15,0.3754,
8,11,11,1.0,676.91,7446.012,302,25,14,0.4359,
9,13,13,1.0,613.692,7978.001,300,37,24,0.3682,
10,14,14,1.0,569.275,7969.852,314,40,26,0.3216,
11,13,13,1.0,662.899,8617.689,273,46,33,0.3428,
12,13,13,1.0,632.094,8217.219,308,33,20,0.2931,
13,12,12,1.0,681.541,8178.492,330,27,15,0.3615,
14,10,10,1.0,790.119,7901.186,342,18,8,0.4817,
15,11,11,1.0,730.6,8036.603,317,32,21,0.482,
16,12,12,1.0,674.225,8090.699,326,36,24,0.3805,
17,14,14,1.0,513.205,7184.871,276,21,7,0.4037,
18,11,11,1.0,710.026,7810.285,318,20,9,0.3842,
19,15,15,1.0,510.677,7660.155,248,33,18,0.2988,
20,15,15,1.0,496.706,7450.593,258,20,5,0.2763,
21,11,11,1.0,720.845,7929.299,341,33,22,0.3944,
22,11,11,1.0,737.46,8112.056,344,29,18,0.4471,
23,16,16,1.0,524.486,8391.776,247,30,14,0.2529,
24,15,15,1.0,502.965,7544.482,278,26,11,0.3526,
25,13,13,1.0,610.152,7931.978,323,31,18,0.4031,
26,15,15,1.0,519.851,7797.769,261,20,5,0.3049,
27,15,15,1.0,551.131,8266.959,284,45,30,0.2807,
28,10,10,1.0,842.995,8429.951,377,30,20,0.4614,
29,14,14,1.0,527.756,7388.586,275,17,3,0.3389,
30,14,14,1.0,578.239,8095.339,269,32,18,0.3026,
31,10,10,1.0,778.993,7789.928,357,24,14,0.4168,
32,10,10,1.0,714.937,7149.365,357,16,6,0.4882,
33,14,14,1.0,492.667,6897.342,233,30,16,0.288,
34,14,14,1.0,574.278,8039.898,275,23,9,0.3522,
35,14,14,1.0,524.271,7339.797,282,26,12,0.3837,
36,12,12,1.0,582.914,6994.967,313,17,5,0.4436,
37,15,15,1.0,483.931,7258.971,251,16,1,0.3522,
38,15,15,1.0,534.188,8012.82,255,45,30,0.2927,
39,11,11,1.0,696.351,7659.861,388,28,17,0.3602,
40,13,13,1.0,620.293,8063.808,292,23,10,0.3326,
41,13,13,1.0,612.03,7956.386,310,28,15,0.3609,
