seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
468,11,11,1.0,663.3,7296.301,295,17,6,0.3305,
469,12,12,1.0,611.602,7339.221,273,18,6,0.2995,
470,10,10,1.0,715.788,7157.884,332,14,4,0.287,
471,15,15,1.0,589.192,8837.882,262,32,17,0.2894,
472,11,11,1.0,690.342,7593.766,339,20,9,0.3288,
473,12,12,1.0,653.86,7846.317,326,34,22,0.2668,
474,10,10,1.0,801.096,8010.963,353,29,19,0.3147,
475,10,10,1.0,818.475,8184.749,352,16,6,0.3185,
476,13,13,1.0,623.043,8099.555,293,28,15,0.2988,
477,14,14,1.0,504.384,7061.374,223,23,9,0.3478,
478,12,12,1.0,684.653,8215.84,319,25,13,0.2762,
479,16,16,1.0,518.103,8289.647,231,32,16,0.447,
480,13,13,1.0,664.88,8643.446,287,24,11,0.309,
481,15,15,1.0,625.838,9387.572,289,38,23,0.3617,
482,14,14,1.0,583.292,8166.09,283,19,5,0.3321,
483,14,14,1.0,569.574,7974.035,269,25,11,0.3511,
484,14,14,1.0,672.728,9418.191,336,35,21,0.3124,
485,11,11,1.0,672.999,7402.985,307,12,1,0.3857,
486,11,11,1.0,724.885,7973.739,308,21,10,0.4293,
487,16,16,1.0,516.684,8266.944,222,33,17,0.3121,
488,10,10,1.0,808.211,8082.107,375,12,2,0.484,
489,11,11,1.0,718.647,7905.121,361,24,13,0.5074,
490,15,15,1.0,533.442,8001.636,244,21,6,0.3448,
491,13,13,1.0,676.411,8793.348,280,31,18,0.7053,
492,16,16,1.0,522.312,8356.991,242,24,8,0.3598,
493,12,12,1.0,663.934,7967.208,320,15,3,0.2746,
494,15,15,1.0,600.382,9005.733,285,24,9,0.2798,
495,15,15,1.0,503.001,7545.019,228,16,1,0.3396,
496,15,15,1.0,572.875,8593.118,280,19,4,0.277,
497,12,12,1.0,663.963,7967.553,318,16,4,0.2915,
498,13,13,1.0,549.803,7147.439,253,24,11,0.4682,
499,10,10,1.0,699.627,6996.266,323,10,0,0.4045,
500,16,16,1.0,568.806,9100.901,315,43,27,0.352,
