seed,n_sources,cleared,ratio,avg_locate_clear_s,virtual_total_s,n_measure,n_clear,n_clear_miss,wall_s,error
1,11,11,1.0,651.129,7162.423,315,20,9,0.5522,
2,16,16,1.0,437.983,7007.735,265,27,11,0.3853,
3,11,11,1.0,589.562,6485.184,332,12,1,0.4299,
4,11,11,1.0,608.456,6693.014,327,11,0,0.4182,
5,14,14,1.0,534.718,7486.055,290,29,15,0.4288,
6,16,16,1.0,434.515,6952.247,257,22,6,0.4299,
7,12,12,1.0,562.316,6747.794,297,25,13,0.4622,
8,11,11,1.0,648.667,7135.334,318,21,10,0.5059,
9,13,13,1.0,575.142,7476.843,297,25,12,0.3824,
10,14,14,1.0,508.357,7116.997,303,27,13,0.3854,
11,13,13,1.0,528.634,6872.245,281,17,4,0.4259,
12,13,13,1.0,504.308,6556.004,276,13,0,0.4273,
13,12,12,1.0,599.379,7192.546,333,21,9,0.3453,
14,10,10,1.0,655.466,6554.657,373,15,5,0.4949,
15,11,11,1.0,648.623,7134.852,311,13,2,0.4772,
16,12,12,1.0,677.613,8131.352,347,23,11,0.5029,
17,14,14,1.0,493.8,6913.199,277,16,2,0.3767,
18,11,11,1.0,640.562,7046.179,327,15,4,0.4562,
19,15,15,1.0,477.203,7158.044,251,22,7,0.3427,
20,15,15,1.0,466.786,7001.787,281,25,10,0.3453,
21,11,11,1.0,643.581,7079.393,337,15,4,0.4314,
22,11,11,1.0,655.672,7212.396,325,20,9,0.4368,
23,16,16,1.0,407.442,6519.077,244,20,4,0.2862,
24,15,15,1.0,463.261,6948.91,276,28,13,0.2897,
25,13,13,1.0,532.329,6920.282,324,17,4,0.3842,
26,15,15,1.0,485.395,7280.927,287,29,14,0.3636,
27,15,15,1.0,470.942,7064.126,292,23,8,0.357,
28,10,10,1.0,739.559,7395.591,368,11,1,0.4768,
29,14,14,1.0,483.543,6769.605,288,31,17,0.333,
30,14,14,1.0,487.002,6818.031,256,20,6,0.4172,
31,10,10,1.0,709.428,7094.278,347,23,13,0.4507,
32,10,10,1.0,679.219,6792.186,355,17,7,0.5685,
33,14,14,1.0,483.262,6765.664,265,20,6,0.3496,
34,14,14,1.0,498.494,6978.909,285,22,8,0.3232,
35,14,14,1.0,489.624,6854.73,279,25,11,0.4162,
36,12,12,1.0,551.308,6615.695,307,17,5,0.4137,
37,15,15,1.0,464.619,6969.284,240,16,1,0.4065,
38,15,15,1.0,505.729,7585.935,269,24,9,0.3272,
39,11,11,1.0,593.485,6528.332,371,21,10,0.353,
40,13,13,1.0,544.41,7077.336,311,20,7,0.3482,
41,13,13,1.0,551.581,7170.556,315,23,10,0.3492,
42,15,15,1.0,407.053,6105.794,216,23,8,0.2694,
43,10,10,1.0,751.061,7510.607,342,12,2,0.3867,
44,13,13,1.0,533.266,6932.463,289,20,7,0.3374,
45,12,12,1.0,587.004,7044.048,337,20,8,0.3805,
46,10,10,1.0,650.588,6505.881,342,11,1,0.4093,
47,12,12,1.0,561.854,6742.245,336,19,7,0.3923,
48,14,14,1.0,507.849,7109.883,313,20,6,0.3187,
49,10,10,1.0,694.081,6940.808,349,15,5,0.4599,
50,13,13,1.0,556.105,7229.364,277,19,6,0.3144,
51,11,11,1.0,672.081,7392.896,414,22,11,0.3947,
52,12,12,1.0,622.946,7475.347,330,23,11,0.3543,
53,14,14,1.0,535.3,7494.205,301,37,23,0.4317,
54,11,11,1.0,628.522,6913.742,342,15,4,0.6156,
55,10,10,1.0,711.063,7110.632,359,30,20,0.5405,
56,16,16,1.0,474.53,7592.479,265,28,12,0.321,
57,10,10,1.0,682.416,6824.157,332,15,5,0.5924,
58,14,14,1.0,512.868,7180.149,278,29,15,0.3854,
59,11,11,1.0,603.221,6635.427,341,12,1,0.5016,
60,12,12,1.0,614.668,7376.013,342,31,19,0.4829,
61,13,13,1.0,526.68,6846.839,322,23,10,0.3956,
62,14,14,1.0,564.49,7902.857,354,32,18,0.3166,
63,13,13,1.0,546.846,7108.992,285,17,4,0.3601,
64,13,13,1.0,564.927,7344.056,337,19,6,0.3014,
65,13,13,1.0,544.52,7078.76,309,21,8,0.3977,
66,10,10,1.0,769.433,7694.328,355,31,21,0.4251,
67,10,10,1.0,755.258,7552.579,359,29,19,0.5537,
68,15,15,1.0,487.778,7316.667,286,35,20,0.3057,
69,15,15,1.0,448.552,6728.283,234,18,3,0.3078,
70,10,10,1.0,689.198,6891.982,365,26,16,0.4301,
71,12,12,1.0,549.699,6596.39,304,12,0,0.3245,
72,10,10,1.0,712.089,7120.892,364,21,11,0.3412,
73,12,12,1.0,594.018,7128.222,323,15,3,0.3589,
74,16,16,1.0,456.877,7310.032,244,24,8,0.2333,
75,13,13,1.0,534.383,6946.974,288,24,11,0.3685,
76,12,12,1.0,557.812,6693.747,310,15,3,0.4728,
77,16,16,1.0,455.394,7286.302,262,26,10,0.3473,
78,16,16,1.0,444.707,7115.314,328,29,13,0.3357,
79,11,11,1.0,604.702,6651.721,312,13,2,0.5949,
80,12,12,1.0,589.235,7070.823,294,24,12,0.4779,
81,14,14,1.0,501.295,7018.129,309,22,8,0.4118,
82,11,11,1.0,658.79,7246.689,364,19,8,0.4157,
83,13,13,1.0,583.995,7591.937,328,32,19,0.5899,
84,15,15,1.0,463.51,6952.654,301,16,1,0.3787,
85,11,11,1.0,652.411,7176.523,329,19,8,0.4312,
86,16,16,1.0,440.507,7048.112,270,32,16,0.2492,
87,11,11,1.0,655.7,7212.702,359,17,6,0.3788,
88,13,13,1.0,517.741,6730.636,280,32,19,0.3326,
89,10,10,1.0,679.318,6793.183,329,12,2,0.4205,
90,11,11,1.0,698.055,7678.603,362,33,22,0.4263,
91,10,10,1.0,735.694,7356.943,372,24,14,0.4132,
92,13,13,1.0,566.849,7369.035,362,27,14,0.3801,
93,16,16,1.0,438.929,7022.861,222,20,4,0.269,
94,14,14,1.0,526.337,7368.717,306,31,17,0.5585,
95,16,16,1.0,443.891,7102.256,289,24,8,0.2862,
96,12,12,1.0,550.661,6607.931,284,14,2,0.3491,
97,11,11,1.0,652.997,7182.962,324,20,9,0.4083,
98,12,12,1.0,639.354,7672.247,347,30,18,0.4721,
99,13,13,1.0,521.514,6779.682,294,24,11,0.4357,
100,11,11,1.0,618.956,6808.52,334,20,9,0.4755,
101,14,14,1.0,495.527,6937.384,297,29,15,0.3859,
102,11,11,1.0,613.619,6749.814,353,13,2,0.6488,
103,15,15,1.0,500.516,7507.74,256,16,1,0.4709,
104,10,10,1.0,730.508,7305.076,335,20,10,0.5233,
105,14,14,1.0,502.051,7028.714,292,16,2,0.271,
106,15,15,1.0,483.14,7247.101,315,30,15,0.2296,
107,11,11,1.0,649.527,7144.799,351,20,9,0.3609,
108,11,11,1.0,675.857,7434.427,358,17,6,0.3613,
109,12,12,1.0,582.834,6994.012,341,14,2,0.3257,
110,13,13,1.0,584.264,7595.434,313,41,28,0.3884,
111,16,16,1.0,451.205,7219.273,292,26,10,0.2827,
112,13,13,1.0,510.638,6638.296,278,15,2,0.2585,
113,10,10,1.0,786.78,7867.801,345,29,19,0.3837,
114,11,11,1.0,636.841,7005.253,320,15,4,0.39,
115,12,12,1.0,585.495,7025.938,305,17,5,0.3412,
116,16,16,1.0,472.554,7560.863,261,41,25,0.246,
117,11,11,1.0,650.445,7154.899,324,14,3,0.387,
118,15,15,1.0,471.593,7073.899,268,23,8,0.2594,
119,12,12,1.0,575.698,6908.374,331,18,6,0.439,
120,14,14,1.0,470.36,6585.034,282,22,8,0.3294,
121,10,10,1.0,724.536,7245.361,339,17,7,0.4225,
122,14,14,1.0,487.861,6830.052,284,20,6,0.297,
123,10,10,1.0,659.02,6590.2,372,11,1,0.4292,
124,12,12,1.0,639.622,7675.464,315,15,3,0.3271,
125,11,11,1.0,605.293,6658.226,302,22,11,0.4196,
126,14,14,1.0,599.252,8389.526,323,45,31,0.3711,
127,10,10,1.0,721.811,7218.111,350,17,7,0.4311,
128,16,16,1.0,482.243,7715.881,257,32,16,0.3071,
129,14,14,1.0,503.925,7054.956,272,20,6,0.3697,
130,14,14,1.0,556.104,7785.461,329,22,8,0.4685,
131,12,12,1.0,628.838,7546.06,380,34,22,0.3681,
132,13,13,1.0,575.819,7485.652,297,22,9,0.3792,
133,13,13,1.0,562.494,7312.419,308,34,21,0.3554,
134,13,13,1.0,539.129,7008.677,323,28,15,0.2891,
135,15,15,1.0,476.61,7149.157,296,18,3,0.2093,
